Date,BilledVolume,Rainfall,RainfallYesterday,RainfallTwoDaysAgo,RainfallThreeDaysAgo,RainfallTomorrow,MaxTemp,MaxTempYesterday,MaxTempTwoDaysAgo,MaxTempThreeDaysAgo,MaxTempTomorrow,month,weekend,MaxTemp_imp,Rainfall_imp,MaxTempYesterday_imp,RainfallYesterday_imp,MaxTempTwoDaysAgo_imp,RainfallTwoDaysAgo_imp,MaxTempThreeDaysAgo_imp,RainfallThreeDaysAgo_imp,MaxTempTomorrow_imp,RainfallTomorrow_imp
2015-04-19,387,6.94,5.3999999999999995,0.25,0.1,3.54,13.125,20.475,16.435000000000002,18.145,15.555,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-20,388,3.54,6.94,5.3999999999999995,0.25,0,15.555,13.125,20.475,16.435000000000002,17.025000000000002,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-21,366,0,3.54,6.94,5.3999999999999995,0,17.025000000000002,15.555,13.125,20.475,18.33,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-22,386,0,0,3.54,6.94,0,18.33,17.025000000000002,15.555,13.125,19.09,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-23,376,0,0,0,3.54,0.05,19.09,18.33,17.025000000000002,15.555,20.27,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-24,373,0.05,0,0,0,2.91,20.27,19.09,18.33,17.025000000000002,13.69,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-25,359,2.91,0.05,0,0,5.91,13.69,20.27,19.09,18.33,14.35,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-26,352,5.91,2.91,0.05,0,2.91,14.35,13.69,20.27,19.09,14.91,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-27,380,2.91,5.91,2.91,0.05,2.05,14.91,14.35,13.69,20.27,15.370000000000001,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-28,379,2.05,2.91,5.91,2.91,0.23,15.370000000000001,14.91,14.35,13.69,17.15,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
